# PcbXY Version 1.0
# Date: Mon 07 Sep 2020 07:08:11 AM GMT UTC
# Author: commonadmin
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
M5,"GenericRap_Cutdown","unknown",53.11,168.77,90,top
M6,"GenericRap_Cutdown","unknown",53.11,138.29,90,top
M3,"GenericRap_Cutdown","unknown",53.11,229.73,90,top
M4,"GenericRap_Cutdown","unknown",53.11,199.25,90,top
M11,"GenericRap_Cutdown","unknown",327.43,260.21,90,top
M9,"GenericRap_Cutdown","unknown",327.43,199.25,90,top
M8,"GenericRap_Cutdown","unknown",327.43,168.77,90,top
M7,"GenericRap_Cutdown","unknown",327.43,138.29,90,top
M2,"GenericRap_Cutdown","unknown",125.59,226.29,0,top
M1,"GenericRap","unknown",189.05,230.62,0,top
D2,"ALF900","unknown",41.66,210.82,180,top
D1,"ALF900","unknown",41.66,180.34,180,top
VSYS4,"XT60","60A",383.33,124.46,0,top
T43,"JUMPER1","unknown",153.03,101.60,0,top
T42,"JUMPER1","unknown",142.88,101.60,0,top
T41,"JUMPER1","unknown",132.72,101.60,0,top
T38,"JUMPER1","unknown",151.13,158.88,0,top
T37,"JUMPER1","unknown",140.97,158.88,0,top
T34,"JUMPER1","unknown",225.43,130.94,0,top
T24,"JUMPER1","unknown",222.25,69.60,0,top
T23,"JUMPER1","unknown",219.71,69.60,0,top
T22,"JUMPER1","unknown",217.17,69.60,0,top
T21,"JUMPER1","unknown",214.63,69.60,0,top
T20,"JUMPER1","unknown",207.01,69.60,0,top
T19,"JUMPER1","unknown",204.47,69.60,0,top
T18,"JUMPER1","unknown",201.93,69.60,0,top
T17,"JUMPER1","unknown",199.39,69.60,0,top
T4,"JUMPER1","unknown",148.59,69.60,0,top
T3,"JUMPER1","unknown",146.05,69.60,0,top
T2,"JUMPER1","unknown",143.51,69.60,0,top
T1,"JUMPER1","unknown",140.97,69.60,0,top
T8,"JUMPER1","unknown",163.83,69.60,0,top
T7,"JUMPER1","unknown",161.29,69.60,0,top
T6,"JUMPER1","unknown",158.75,69.60,0,top
T5,"JUMPER1","unknown",156.21,69.60,0,top
T12,"JUMPER1","unknown",179.07,69.60,0,top
T11,"JUMPER1","unknown",176.53,69.60,0,top
T10,"JUMPER1","unknown",173.99,69.60,0,top
T9,"JUMPER1","unknown",171.45,69.60,0,top
T14,"JUMPER1","unknown",186.69,69.60,0,top
T13,"JUMPER1","unknown",184.15,69.60,0,top
T16,"JUMPER1","unknown",191.77,69.60,0,top
T15,"JUMPER1","unknown",189.23,69.60,0,top
T28,"JUMPER1","unknown",217.04,122.56,0,top
T27,"JUMPER1","unknown",217.04,114.68,0,top
T26,"JUMPER1","unknown",216.92,106.81,0,top
T25,"JUMPER1","unknown",216.92,98.93,0,top
T29,"JUMPER1","unknown",225.43,151.26,0,top
T30,"JUMPER1","unknown",225.43,146.18,0,top
T31,"JUMPER1","unknown",225.43,136.02,0,top
T32,"JUMPER1","unknown",225.43,141.10,0,top
T36,"JUMPER1","unknown",181.61,158.88,0,top
T35,"JUMPER1","unknown",186.69,158.88,0,top
T40,"JUMPER1","unknown",171.45,158.88,0,top
T39,"JUMPER1","unknown",161.29,158.88,0,top
T50,"JUMPER1","unknown",171.32,146.56,0,top
T46,"JUMPER1","unknown",137.79,108.08,0,top
T45,"JUMPER1","unknown",147.96,108.08,0,top
T44,"JUMPER1","unknown",158.12,108.08,0,top
T49,"JUMPER1","unknown",198.25,99.82,0,top
T48,"JUMPER1","unknown",195.71,99.82,0,top
T47,"JUMPER1","unknown",193.17,99.82,0,top
VSYS1,"XT60","60A",389.25,253.66,270,top
VPSU1,"XT60","60A",430.70,264.16,180,top
VPSU10,"HEADER2_2","unknown",432.94,275.59,180,top
M10,"GenericRap_Cutdown","unknown",327.43,229.73,90,top
T33,"JUMPER1","unknown",225.43,125.86,0,top
T51,"JUMPER1","unknown",217.04,125.09,0,top
T53,"JUMPER1","unknown",153.03,108.08,0,top
T52,"JUMPER1","unknown",155.57,108.08,0,top
T54,"JUMPER1","unknown",202.44,125.98,0,top
T55,"JUMPER1","unknown",202.44,123.44,0,top
T150,"JUMPER1","unknown",55.50,180.34,0,top
F1,"ACY900","unknown",434.34,243.71,270,top
VSW2,"XT60","60A",443.61,211.92,270,top
VSW1,"XT60","60A",434.34,211.92,270,top
S1,"HEADER2_2","unknown",450.98,214.25,270,top
F2,"ACY900","unknown",434.34,183.77,270,top
VSYS2,"XT60","60A",430.74,156.97,180,top
VPSU2,"XT60","60A",414.48,264.16,180,top
PSU1,"ACY100P","unknown",416.81,272.80,180,top
VHEATSLAB2,"XT60","60A",394.72,219.16,270,top
U1,"DIP6","unknown",404.50,218.44,270,top
VSLAB1,"XT60","60A",413.38,219.16,270,top
VSYS3,"XT60","60A",409.79,206.16,0,top
VHEATSLAB1,"XT60","60A",383.29,219.16,270,top
T110,"JUMPER1","unknown",391.29,101.22,0,top
T109,"JUMPER1","unknown",396.62,101.22,0,top
T108,"JUMPER1","unknown",401.95,101.22,0,top
T107,"JUMPER1","unknown",407.29,101.22,0,top
T106,"JUMPER1","unknown",412.62,101.22,0,top
T100,"JUMPER1","unknown",417.96,101.22,0,top
T111,"JUMPER1","unknown",423.29,101.22,0,top
T105,"JUMPER1","unknown",428.62,101.22,0,top
T104,"JUMPER1","unknown",433.96,101.22,0,top
T103,"JUMPER1","unknown",439.29,101.22,0,top
T102,"JUMPER1","unknown",444.63,101.22,0,top
T101,"JUMPER1","unknown",449.96,101.22,0,top
