#refdes,footprint,value,description,cost,device,mfr,mfrpn,dst,dstpn,link,link_page,supplier,sbapn,kitting,kitting_d,Xpos,Ypos,rot,side
M5,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,2091.11,6644.44,90,top
M6,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,2091.11,5444.44,90,top
M3,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,2091.11,9044.44,90,top
M4,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,2091.11,7844.44,90,top
M11,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,12891.11,10244.44,90,top
M9,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,12891.11,7844.44,90,top
M8,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,12891.11,6644.44,90,top
M7,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,12891.11,5444.44,90,top
M2,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,4944.44,8908.89,0,top
M1,"GenericRap","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,7443.00,9079.67,0,top
D2,"ALF900","unknown",,,DIODE,,,,,,,,,,,1640.00,8300.00,180,top
D1,"ALF900","unknown",,,DIODE,,,,,,,,,,,1640.00,7100.00,180,top
VSYS4,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15091.73,4900.00,0,top
T43,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6025.00,4000.00,0,top
T42,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5625.00,4000.00,0,top
T41,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5225.00,4000.00,0,top
T38,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5950.00,6255.00,0,top
T37,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5550.00,6255.00,0,top
T34,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8875.00,5155.00,0,top
T24,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8750.00,2740.00,0,top
T23,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8650.00,2740.00,0,top
T22,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8550.00,2740.00,0,top
T21,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8450.00,2740.00,0,top
T20,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8150.00,2740.00,0,top
T19,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8050.00,2740.00,0,top
T18,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7950.00,2740.00,0,top
T17,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7850.00,2740.00,0,top
T4,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5850.00,2740.00,0,top
T3,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5750.00,2740.00,0,top
T2,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5650.00,2740.00,0,top
T1,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5550.00,2740.00,0,top
T8,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6450.00,2740.00,0,top
T7,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6350.00,2740.00,0,top
T6,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6250.00,2740.00,0,top
T5,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6150.00,2740.00,0,top
T12,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7050.00,2740.00,0,top
T11,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6950.00,2740.00,0,top
T10,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6850.00,2740.00,0,top
T9,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6750.00,2740.00,0,top
T14,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7350.00,2740.00,0,top
T13,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7250.00,2740.00,0,top
T16,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7550.00,2740.00,0,top
T15,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7450.00,2740.00,0,top
T28,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8545.00,4825.00,0,top
T27,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8545.00,4515.00,0,top
T26,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8540.00,4205.00,0,top
T25,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8540.00,3895.00,0,top
T29,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8875.00,5955.00,0,top
T30,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8875.00,5755.00,0,top
T31,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8875.00,5355.00,0,top
T32,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8875.00,5555.00,0,top
T36,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7150.00,6255.00,0,top
T35,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7350.00,6255.00,0,top
T40,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6750.00,6255.00,0,top
T39,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6350.00,6255.00,0,top
T50,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6745.00,5770.00,0,top
T46,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5425.00,4255.00,0,top
T45,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5825.00,4255.00,0,top
T44,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6225.00,4255.00,0,top
T49,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7805.00,3930.00,0,top
T48,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7705.00,3930.00,0,top
T47,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7605.00,3930.00,0,top
VSYS1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15325.00,9986.73,270,top
VPSU1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16956.73,10400.00,180,top
VPSU10,"HEADER2_2","unknown",generic connector,,CONNECTOR_2,,,,,,,,,,,17045.00,10850.00,180,top
M10,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,12891.11,9044.44,90,top
T33,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8875.00,4955.00,0,top
T51,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8545.00,4925.00,0,top
T53,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6025.00,4255.00,0,top
T52,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6125.00,4255.00,0,top
T54,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7970.00,4960.00,0,top
T55,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7970.00,4860.00,0,top
T150,"JUMPER1","unknown",,,terminal,,,,,,,,,,,2185.00,7100.00,0,top
F1,"ACY900","unknown",fuse,,FUSE,,,,,,,,,,,17100.00,9595.00,270,top
VSW2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,17465.00,8343.27,270,top
VSW1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,17100.00,8343.27,270,top
S1,"HEADER2_2","unknown",,,SPST,,,,,,,,,,,17755.00,8435.00,270,top
F2,"ACY900","unknown",fuse,,FUSE,,,,,,,,,,,17100.00,7235.00,270,top
VSYS2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16958.27,6180.00,180,top
VPSU2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16318.27,10400.00,180,top
PSU1,"ACY100P","unknown",,,VOLTAGE_SOURCE,,,,,,,,,,,16410.00,10740.00,180,top
VHEATSLAB2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15540.00,8628.27,270,top
U1,"DIP6","unknown",,,LCB110,,,,,,,,,,,15925.00,8600.00,270,top
VSLAB1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16275.00,8628.27,270,top
VSYS3,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16133.27,8116.54,0,top
VHEATSLAB1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15090.00,8628.27,270,top
T110,"JUMPER1","unknown",,,terminal,,,,,,,,,,,15405.00,3985.00,0,top
T109,"JUMPER1","unknown",,,terminal,,,,,,,,,,,15615.00,3985.00,0,top
T108,"JUMPER1","unknown",,,terminal,,,,,,,,,,,15825.00,3985.00,0,top
T107,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16035.00,3985.00,0,top
T106,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16245.00,3985.00,0,top
T100,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16455.00,3985.00,0,top
T111,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16665.00,3985.00,0,top
T105,"JUMPER1","unknown",,,terminal,,,,,,,,,,,16875.00,3985.00,0,top
T104,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17085.00,3985.00,0,top
T103,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17295.00,3985.00,0,top
T102,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17505.00,3985.00,0,top
T101,"JUMPER1","unknown",,,terminal,,,,,,,,,,,17715.00,3985.00,0,top
